id,nav_label,nav_id,nav_parent,nav_link,nav_order,nav_icon,nav_access_group_level,nav_access_user_role,nav_location
661ebdbcb8ddb8f91005d3f7,Dashboard,dashboard,,/,0,dashboard,-1,,top
661ebdbcb8ddb8f91005d3f8,Devices,devices,,/devices,1,memory,-1,,top
661ebdbcb8ddb8f91005d3f9,Register Device,devices.register_device,devices,/devices/register,0,,-1,admin,top
661ebdbcb8ddb8f91005d3fa,Events,events,,/events,2,warning,-1,,top
661ebdbcb8ddb8f91005d3fb,Customers,customers,,/customers,3,apartment,0,admin,top
661ebdbcb8ddb8f91005d3fc,Sites,sites,,/sites,4,location_on,1,,top
661ebdbcb8ddb8f91005d3fd,Users,users,,/users,5,person,-1,admin,top
661ebdbcb8ddb8f91005d3fe,Admin,admin,,,0,admin_panel_settings,0,,bottom
661ebdbcb8ddb8f91005d3ff,White Label,whitelabel,admin,/admin/whitelabel,0,,0,,bottom
661ebdbcb8ddb8f91005d400,Navigation,navigation,admin,/admin/navigation,1,,0,,bottom
661ebdbcb8ddb8f91005d401,Devices Table,56596bf2-c9f6-46f4-8159-819eb9654d0f,admin,/admin/devices-table,2,,0,,bottom
661ebdbcb8ddb8f91005d402,Device Tags,b557e26d-cbc5-43b7-bc41-b39ba4d63004,admin,/admin/device-tags,2,,0,,bottom
661ebdbcb8ddb8f91005d403,Dashboards,f9d5dde5-7a39-4193-a8c8-305599e69e7b,admin,/admin/dashboards,3,,0,,bottom